url,Name,Rates,Reviews,Type,Phone,Neighborhood,Website,direction
https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D8%AD%D9%81%D9%84%D8%A9+%D8%A7%D9%84%D8%B1%D8%A7%D8%A6%D8%B9%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x3e2f11003ad9e31f:0x73cdda28dd47c933!8m2!3d24.5301864!4d46.639017!16s%2Fg%2F11vpcfrs2c!19sChIJH-PZOgARLz4RM8lH3SjazXM?authuser=0&hl=ar&rclk=1,مركز الحفلة الرائعة,4.8,(25),حضانة أطفال,053 977 1294,الحزم,,جنوب الرياض
https://www.google.com/maps/place/%D8%AD%D8%B6%D8%A7%D9%86%D9%87+%D9%88%D8%A7%D8%AD%D8%A9+%D8%A8%D9%8A%D8%AA+%D8%A7%D9%84%D8%B7%D9%81%D9%88%D9%84%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x3e2f117568ab2775:0xff7997d861d1024f!8m2!3d24.551985!4d46.6581298!16s%2Fg%2F11t9tt3gkc!19sChIJdSeraHURLz4RTwLRYdiXef8?authuser=0&hl=ar&rclk=1,حضانه واحة بيت الطفولة,4.8,(42),حضانة,055 159 5971,الحزم,,جنوب الرياض
https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D9%84%D8%AD%D8%B8%D8%A7%D8%AA+%D8%A7%D9%84%D8%B7%D9%81%D9%84%E2%80%AD/data=!4m7!3m6!1s0x3e2f11e2e6686b83:0x14c92c2a35f72a2b!8m2!3d24.5423347!4d46.6492086!16s%2Fg%2F11vc5smhx7!19sChIJg2to5uIRLz4RKyr3NSosyRQ?authuser=0&hl=ar&rclk=1,مركز لحظات الطفل,4.7,(58),رياض أطفال,055 939 4715,الحزم,,جنوب الرياض
https://www.google.com/maps/place/%D8%B1%D9%88%D8%B6%D8%A9+%D9%88%D8%AD%D8%B6%D8%A7%D9%86%D8%A9+%D9%81%D9%88%D8%B2+%D8%A7%D9%84%D8%B7%D9%81%D9%84+%D9%84%D8%B1%D9%8A%D8%A7%D8%B6+%D8%A7%D9%84%D8%A7%D8%B7%D9%81%D8%A7%D9%84%E2%80%AD/data=!4m7!3m6!1s0x3e2f11112bb7a699:0x48902a9187717025!8m2!3d24.5515238!4d46.6598635!16s%2Fg%2F11y84c5r10!19sChIJmaa3KxERLz4RJXBxh5EqkEg?authuser=0&hl=ar&rclk=1,روضة وحضانة فوز الطفل لرياض الاطفال,5.0,(12),حضانة أطفال,055 808 8178,الحزم,,جنوب الرياض
https://www.google.com/maps/place/%D8%B1%D9%88%D8%B6%D8%A9+%D8%A8%D8%B1%D8%A7%D8%B9%D9%85+%D8%A7%D9%84%D8%A7%D8%B5%D9%8A%D9%84+%D8%A7%D9%84%D8%B5%D8%A8%D8%A7%D8%AD%D9%8A%D9%87+%D9%82%D8%B3%D9%85+%D8%A7%D9%84%D8%A8%D9%86%D9%8A%D9%86%E2%80%AD/data=!4m7!3m6!1s0x3e2f11d45c6507b7:0xf54bbf58ee38096a!8m2!3d24.5481153!4d46.6670534!16s%2Fg%2F11f_1y523n!19sChIJtwdlXNQRLz4Ragk47li_S_U?authuser=0&hl=ar&rclk=1,روضة براعم الاصيل الصباحيه قسم البنين,3.6,(9),مدرسة,050 422 5592,الحزم,,جنوب الرياض
https://www.google.com/maps/place/%D8%A7%D9%84%D8%B1%D9%88%D8%B6%D8%A9+80%E2%80%AD/data=!4m7!3m6!1s0x3e2f112ab1f8f8b9:0x447d0e864317af95!8m2!3d24.5489756!4d46.6533028!16s%2Fg%2F11g4dg0fy8!19sChIJufj4sSoRLz4Rla8XQ4YOfUQ?authuser=0&hl=ar&rclk=1,الروضة 80,3.6,(40),مدرسة,,الحزم,,جنوب الرياض
https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%B7%D9%81%D9%84%D9%8A+%D8%A7%D9%84%D9%85%D8%AD%D8%A8%D9%88%D8%A8+%D9%84%D8%B6%D9%8A%D8%A7%D9%81%D8%A9+%D8%A7%D9%84%D8%A7%D8%B7%D9%81%D8%A7%D9%84%E2%80%AD/data=!4m7!3m6!1s0x3e2f0fa52bde89a1:0x6cd1677349c918ef!8m2!3d24.5567427!4d46.7095648!16s%2Fg%2F11j4dn7jqw!19sChIJoYneK6UPLz4R7xjJSXNn0Ww?authuser=0&hl=ar&rclk=1,مركز طفلي المحبوب لضيافة الاطفال,4.5,(142),حضانة أطفال,055 363 8323,الحزم,,جنوب الرياض
https://www.google.com/maps/place/%D9%85%D8%AC%D9%85%D8%B9+%D8%AD%D9%84%D9%82%D8%A7%D8%AA+%D8%A7%D9%84%D8%AD%D8%B2%D9%85%E2%80%AD/data=!4m7!3m6!1s0x3e2f10801691b897:0x5f2900cc6b575cd9!8m2!3d24.5752752!4d46.6309829!16s%2Fg%2F11xfx89f4!19sChIJl7iRFoAQLz4R2VxXa8wAKV8?authuser=0&hl=ar&rclk=1,مجمع حلقات الحزم,4.8,(226),مسجد,055 004 4118,الحزم,,جنوب الرياض
https://www.google.com/maps/place/%D8%A7%D9%84%D8%B1%D9%88%D8%B6%D8%A9+%D9%A8%D9%A1%E2%80%AD/data=!4m7!3m6!1s0x3e2f11deaf12b739:0xec0828466bd6cae3!8m2!3d24.5417888!4d46.6651115!16s%2Fg%2F11cnbdyh51!19sChIJObcSr94RLz4R48rWa0YoCOw?authuser=0&hl=ar&rclk=1,الروضة ٨١,2.9,(25),رياض أطفال,053 642 8650,الحزم,,جنوب الرياض
https://www.google.com/maps/place/%D9%85%D8%AF%D8%B1%D8%B3%D9%87%E2%80%AD/data=!4m7!3m6!1s0x3e2f1bfa33d564cb:0x6662dc9dba1176c9!8m2!3d24.6143301!4d46.6027044!16s%2Fg%2F11rmq39ylx!19sChIJy2TVM_obLz4RyXYRup3cYmY?authuser=0&hl=ar&rclk=1,مدرسه,3.5,(2),حضانة أطفال,,الحزم,,جنوب الرياض
