url,Name,Rates,Reviews,Type,Phone,Website,Neighborhood,direction
https://www.google.com/maps/place/%D9%83%D8%B1%D8%B2+%D9%88%D8%AA%D9%88%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x3e2f0173bb81646b:0xa7bed89d3ec250a8!8m2!3d24.7330983!4d46.7890505!16s%2Fg%2F11p0726jst!19sChIJa2SBu3MBLz4RqFDCPp3Yvqc?authuser=0&hl=ar&rclk=1,كرز وتوت,3.2,(51),حضانة أطفال,055 253 0957,,الاندلس,شرق الرياض
https://www.google.com/maps/place/%D9%85%D8%AF%D8%A7%D8%B1%D8%B3+%D8%A7%D9%84%D8%B4%D9%85%D8%B3+%D8%A7%D9%84%D8%A7%D9%87%D9%84%D9%8A%D8%A9+-+%D9%85%D8%A8%D9%86%D9%89+2%E2%80%AD/data=!4m7!3m6!1s0x3e2f0101f817a8b7:0x44be2b195110ed3a!8m2!3d24.7412875!4d46.7860721!16s%2Fg%2F12lkh0tbr!19sChIJt6gX-AEBLz4ROu0QURkrvkQ?authuser=0&hl=ar&rclk=1,مدارس الشمس الاهلية - مبنى 2,3.2,(147),مدرسة,9200 00433,http://sns.edu.sa/,الاندلس,شرق الرياض
https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%B9%D8%A7%D9%84%D9%85+%D8%B3%D9%85%D8%A7+%D9%84%D8%B6%D9%8A%D8%A7%D9%81%D8%A9+%D8%A7%D9%84%D8%A7%D8%B7%D9%81%D8%A7%D9%84+%28%D9%81%D8%B1%D8%B9+%D8%A7%D9%84%D9%81%D9%8A%D8%AD%D8%A7%D8%A1%29%E2%80%AD/data=!4m7!3m6!1s0x3e2f07142f434ce3:0x134ca6bf31323483!8m2!3d24.6843894!4d46.8000101!16s%2Fg%2F11nnqtb5sr!19sChIJ40xDLxQHLz4RgzQyMb-mTBM?authuser=0&hl=ar&rclk=1,مركز عالم سما لضيافة الاطفال (فرع الفيحاء),3.9,(81),حضانة أطفال,059 220 2185,,الفيحاء,شرق الرياض
https://www.google.com/maps/place/%D8%A7%D9%84%D8%B1%D9%88%D8%B6%D8%A9+148%E2%80%AD/data=!4m7!3m6!1s0x3e2f0783f26b2d5d:0x458dc665b2c855b5!8m2!3d24.6772105!4d46.8194584!16s%2Fg%2F11f3vt9rjb!19sChIJXS1r8oMHLz4RtVXIsmXGjUU?authuser=0&hl=ar&rclk=1,الروضة 148,4.6,(32),حضانة أطفال,055 255 7564,,الفيحاء,شرق الرياض
https://www.google.com/maps/place/%D8%AD%D8%B6%D8%A7%D9%86%D9%87+%D8%A7%D9%84%D8%A3%D8%B7%D9%81%D8%A7%D9%84+%D8%A7%D9%84%D8%A3%D9%87%D9%84%D9%8A%D8%A9+%D8%A3%D9%86%D9%87%D8%A7%D8%B1+%D8%A7%D9%84%D8%B9%D9%84%D9%85%E2%80%AD/data=!4m7!3m6!1s0x3e2f07187d1739d1:0x13b59f969ee4f11e!8m2!3d24.6762669!4d46.8051033!16s%2Fg%2F11tf7fzgpl!19sChIJ0TkXfRgHLz4RHvHknpaftRM?authuser=0&hl=ar&rclk=1,حضانه الأطفال الأهلية أنهار العلم,4.5,(35),حضانة أطفال,055 792 3670,,الفيحاء,شرق الرياض
https://www.google.com/maps/place/%D8%AD%D8%B6%D8%A7%D9%86%D8%A9+%D9%85%D8%AD%D8%B7%D8%A9+%D8%A7%D9%84%D8%B7%D9%81%D9%84+%D9%84%D8%B6%D9%8A%D8%A7%D9%81%D8%A9+%D8%A7%D9%84%D8%A7%D8%B7%D9%81%D8%A7%D9%84%E2%80%AD/data=!4m7!3m6!1s0x3e2f016a64d98b75:0x10fd19620dead8b2!8m2!3d24.7738232!4d46.7768327!16s%2Fg%2F11pz674qmt!19sChIJdYvZZGoBLz4RstjqDWIZ_RA?authuser=0&hl=ar&rclk=1,حضانة محطة الطفل لضيافة الاطفال,3.6,(31),حضانة أطفال,,,الحمراء,شرق الرياض
https://www.google.com/maps/place/%D8%AD%D8%B6%D8%A7%D9%86%D9%87+%D9%84%D8%AA%D9%8A%D9%86+%D8%A7%D9%84%D8%B7%D9%81%D9%88%D9%84%D8%A9+%D9%84%D9%84%D8%B6%D9%8A%D8%A7%D9%81%D8%A9+%D8%A7%D9%84%D8%A7%D8%B7%D9%81%D8%A7%D9%84%E2%80%AD/data=!4m7!3m6!1s0x3e2eff001610b1fb:0x8076aa656665245b!8m2!3d24.778321!4d46.7685571!16s%2Fg%2F11y2h063lx!19sChIJ-7EQFgD_Lj4RWyRlZmWqdoA?authuser=0&hl=ar&rclk=1,حضانه لتين الطفولة للضيافة الاطفال,4.3,(33),رياض أطفال,055 220 5624,,الحمراء,شرق الرياض
https://www.google.com/maps/place/%D8%A7%D9%84%D8%B1%D9%88%D8%B6%D8%A9+%D9%A1%D9%A6%D9%A5%E2%80%AD/data=!4m7!3m6!1s0x3e2efdd137adb96d:0x821f048e80677212!8m2!3d24.7772168!4d46.7431889!16s%2Fg%2F11g_s2m598!19sChIJbbmtN9H9Lj4REnJngI4EH4I?authuser=0&hl=ar&rclk=1,الروضة ١٦٥,4.1,(24),حضانة أطفال,011 810 6873,,الحمراء,شرق الرياض
https://www.google.com/maps/place/LEADERS+CLOUD+%D8%AD%D8%B6%D8%A7%D9%86%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x3e2efdeb6c74ea23:0xb664b55ba4b9d198!8m2!3d24.7783475!4d46.7474292!16s%2Fg%2F11tchg4vt9!19sChIJI-p0bOv9Lj4RmNG5pFu1ZLY?authuser=0&hl=ar&rclk=1,LEADERS CLOUD حضانة,4.4,(60),حضانة أطفال,055 689 0016,https://salla.sa/leaders-cloud-by-lttle-princes,الحمراء,شرق الرياض
https://www.google.com/maps/place/%D9%85%D8%AF%D8%A7%D8%B1%D8%B3+%D8%B1%D9%8A%D8%A7%D8%B6+%D8%A7%D9%84%D8%B9%D9%84%D9%85%E2%80%AD/data=!4m7!3m6!1s0x3e2f0127798fc67d:0x57e0871bbc14f603!8m2!3d24.7692634!4d46.7592874!16s%2Fg%2F11s8x0kswp!19sChIJfcaPeScBLz4RA_YUvBuH4Fc?authuser=0&hl=ar&rclk=1,مدارس رياض العلم,4.7,(100),حضانة أطفال,055 320 7006,https://linktr.ee/joyfunsa,الحمراء,شرق الرياض
