,Topic,Count,Name,Representation,KeyBERT,Representative_Docs
0,-1,41910,-1_الله_بنتي_الاطفال_شكرا,"['الله', 'بنتي', 'الاطفال', 'شكرا', 'المدرسه', 'المركز', 'الي', 'ان', 'استاذه', 'طفلي']","['المعلمه', 'ماشاء الله', 'الله خير', 'بصراحه', 'تعاملهم', 'الروضه', 'المدرسه', 'الله', 'يسعدهم', 'معلمه']","['الله يسخرلها', 'وفقها الله', 'المدرسه رءع المعلمات تدرسه رءع']"
1,0,1453,0_انه_انهم_انها_ان,"['انه', 'انهم', 'انها', 'ان', 'او', 'الطفل', 'حتي', 'الي', 'مدرسه', 'رقم']","['ان طفلي', 'يهتمون', 'المدرسه', 'ايدي امينه', 'اطفالهم', 'انهم', 'المعلمات', 'كثيره', 'للطفل', 'طفلي']","['وواثقه انه مبسوط', 'بالرغم انه المرحله التمهيديه الا انه يتم الاهتمام', 'متاكده انه بيتلقي الاعتناء']"
2,1,1374,1_بنتي_اني_سجلت_انا,"['بنتي', 'اني', 'سجلت', 'انا', 'قلبي', 'كنت', 'شي', 'سجلت بنتي', 'اللي', 'ام']","['سجلت بنتي', 'بنتي تحبها', 'اني سجلت', 'تحبها', 'اني حطيت', 'اني دخلت', 'دخلت بنتي', 'درست بنتي', 'تحبهم', 'ندمت اني']","['سجلت بنتي', 'سجلت بنتي', 'بنتي احبتها']"
3,2,845,2_وتربيه_وين_ومس_واتس,"['وتربيه', 'وين', 'ومس', 'واتس', 'ماكانت', 'حبها', 'واداري', 'وصبوره', 'وامتناني', 'رد']","['وتربيه', 'وادعيه', 'وصبوره', 'وعيالي', 'وكويسه', 'واحسن', 'واتمني', 'واداري', 'ويركزون', 'وامتناني']","['وتربيه', 'وتربيه', 'وتربيه']"
4,3,738,3_الحضانه_حضانه_نظيفه_بيءه,"['الحضانه', 'حضانه', 'نظيفه', 'بيءه', 'النواحي', 'مرتبه', 'الحضانه ممتازه', 'سيءه', 'ممتازه', 'روضه']","['الحضانه ممتازه', 'الحضانه نظيفه', 'وصاحبه الحضانه', 'الحضانه سيءه', 'ممتازه حضانه', 'حضانه ممتازه', 'ممتازه النواحي', 'الحضانه', 'الحضانه مره', 'ناحيه النظافه']","['صراحه الحضانه ممتازه', 'ممتازه الحضانه', 'ممتازه الحضانه']"
5,4,619,4_ام_القحطاني_جزيل الشكر_جزيل,"['ام', 'القحطاني', 'جزيل الشكر', 'جزيل', 'العنزي', 'العتيبي', 'الشكر', 'عبدالعزيز', 'الدوسري', 'ساره']","['جزيل الشكر', 'الجميله', 'الشكر', 'منال القحطاني', 'البشاشه', 'شهد الدوسري', 'البدايه', 'المولي', 'الجوال', 'العتيبي']","['جزيل الشكر', 'جزيل الشكر', 'ام ارجوان القحطاني']"
6,5,617,5_رقم_الرقم_للتواصل_ممكن,"['رقم', 'الرقم', 'للتواصل', 'ممكن', 'رقم رقم', 'التواصل', 'سنوات', 'رقم ريال', 'تواصل', 'رقم سنوات']","['رقم لتواصل', 'ممكن احد', 'رقم الجوال', 'رقم الروضه', 'للتواصل', 'المبلغ', 'رقم شهور', 'رقم الي رقم', 'ممكن', 'احتاج رقم']","['ممكن رقم للتواصل', 'ممكن رقم للتواصل', 'رقم التهديد بالعقاب']"
7,6,601,6_الاطفال_التعامل الاطفال_تعاملهم_التعامل,"['الاطفال', 'التعامل الاطفال', 'تعاملهم', 'التعامل', 'وتعاملهم', 'تعاملهم الاطفال', 'تعامل', 'وتعاملهم الاطفال', 'وتعاملها', 'والتعامل الاطفال']","['التعامل الاطفال', 'والتعامل الاطفال', 'الاطفال تعامل', 'بالتعامل الاطفال', 'تعامل الاطفال', 'تعاملها الاطفال', 'تعاملهم الاطفال', 'الاطفال والتقدير', 'الراءع الاطفال', 'وتعاملهم الاطفال']","['ويجيدون التعامل الاطفال', 'والقدره التعامل الاطفال', 'التعامل الاطفال']"
8,7,502,7_طاقم_التعليم_تعليمي_تعليم,"['طاقم', 'التعليم', 'تعليمي', 'تعليم', 'اداري', 'والتعليم', 'التعليمي', 'طاقم العمل', 'ممتاز', 'متميز']","['طاقم مميز', 'طاقم متكامل', 'طاقم اداري', 'طاقم تعليمي', 'طاقم سعودي', 'طاقم', 'طاقم عمل', 'طاقم العمل', 'طاقم راءع', 'اشكر طاقم العمل']","['طاقم العمل مميز', 'طاقم متمرس', 'طاقم ممتاز']"
9,8,494,8_للاطفال_فعاليات_مناسبه_مناسب للاطفال,"['للاطفال', 'فعاليات', 'مناسبه', 'مناسب للاطفال', 'مناسب', 'بيءه', 'مهارات', 'رياض اطفال', 'انشطه', 'للطفل']","['جميله للاطفال', 'امن للاطفال', 'جميل للاطفال', 'بيءه للاطفال', 'للاطفال ممتازه', 'للاطفال للتعلم', 'وممتع للاطفال', 'للاطفال', 'مناسب للاطفال', 'ممتعه للاطفال']","['ورايقين للاطفال', 'واجتهاد للاطفال', 'مزعج للاطفال']"
