,Topic,Count,Name,Representation,KeyBERT,Representative_Docs
0,0,5219,0_بنتي_اللي_شي_اي,"['بنتي', 'اللي', 'شي', 'اي', 'انا', 'مره', 'او', 'مو', 'اول', 'الي']","['صراحه', 'ايش', 'اشوف', 'بصراحه', 'ماراح', 'اقدر', 'اول مره', 'الصراحه', 'حضانه', 'مافيه']","['بنتي ماقدر اقول الا انها مبسوطه مره', 'وتصير بنتي تقلده زي المركز الاول او تتعرض بنتي لمضايقات احد كنت اجي معاها اول اسبوعين', 'الاداره سءيه رحت عشان اشوف المكان كنهم خايفين شي مافتحت الباب الا تحقيق']"
1,1,4436,1_رقم_بنتي_الرقم_للتواصل,"['رقم', 'بنتي', 'الرقم', 'للتواصل', 'اللي', 'معاهم', 'يوم', 'اني', 'احط', 'يرد']","['اتواصل', 'للتواصل', 'الاتصال', 'رد', 'ياليت', 'تواصل', 'ايش', 'التواصل', 'رقم', 'الواتس']","['الرقم الموجود للتواصل مايردون ياليت يكون الرقم صحيح', 'ممكن رقم للتواصل', 'وعطيته رقم التلفون']"
2,2,4314,2_وجميله_داءما_داءم_كثير,"['وجميله', 'داءما', 'داءم', 'كثير', 'النفس', 'الداءم', 'الحروف', 'ولطيفه', 'والابتسامه', 'حب']","['ويفتح النفس', 'داءم', 'داءما', 'ومديره', 'الداءم', 'الداءمه', 'وزياده', 'وخصوصا', 'تواصل داءم', 'وتعاملها']","['وترسل مقاطعه داءما', 'ويفتح النفس', 'ويفتح النفس']"
3,3,3895,3_اشكر_الاستاذه_الاداره_واخص,"['اشكر', 'الاستاذه', 'الاداره', 'واخص', 'استاذه', 'بالشكر', 'واشكر', 'معلمه', 'الكلمه', 'شكرا']","['اشكرها', 'الاستاذه نوره', 'واخص بالذكر', 'مديره المدرسه', 'الاستاذه', 'احب اشكر', 'الاداره', 'واخص', 'حابه', 'استاذه']","['واخص بالشكر المعلمه الراءعه', 'اشكر الاستاذه شما اول معلمه كانت طفلي', 'اشكر الاداره شكر خااص']"
4,4,3889,4_ماشاء_ماشاء الله_ماشاءالله_الله,"['ماشاء', 'ماشاء الله', 'ماشاءالله', 'الله', 'تبارك', 'تبارك الله', 'صراحه', 'الله تبارك', 'العافيه', 'بصراحه']","['ماشاءالله', 'ماشاء الله', 'الله تبارك الله', 'تبارك الله', 'مشاء الله', 'مشاءالله', 'شاء الله', 'ماشالله', 'الله يسعدهم', 'ماشاء']","['المركز ماشاء الله تبارك الله نظافه', 'ماشاء الله تبارك الله الروضه', 'وتجنن ماشاء الله تبارك الله']"
5,5,3146,5_الاطفال_بالاطفال_الطفل_للاطفال,"['الاطفال', 'بالاطفال', 'الطفل', 'للاطفال', 'بالطفل', 'للطفل', 'ومهتمين', 'التفاصيل', 'اطفالنا', 'وحريصين']","['يتعاملون الاطفال', 'وتعليم الاطفال', 'التعامل الاطفال', 'الاطفال بشكل', 'وحنونه الاطفال', 'وامن للاطفال', 'بالاطفال', 'الاطفال', 'الصغار', 'احتواءهم']","['والراقي الاطفال', 'ويفهمون الفروق الاطفال', 'وخوفهم الاطفال']"
6,6,3088,6_وين_وش_والله_شي,"['وين', 'وش', 'والله', 'شي', 'عسل', 'اللي', 'وش اقول', 'مطمءنه', 'وحده', 'مره']","['وين', 'وش اقول', 'ماكانت', 'تروح', 'ولدك', 'وربي', 'دخلته', 'حبت', 'اتعب', 'حبيت']","['وين بيدخل', 'وين مااكانت', 'وين التواضع']"
7,7,2682,7_تجربه_المدرسه_ان_سيءه,"['تجربه', 'المدرسه', 'ان', 'سيءه', 'كانت', 'تجربتي', 'حتي', 'الي', 'انصح', 'او']","['تجربه', 'تجربتنا', 'تجربتي كانت', 'سيءه', 'التجربه', 'تجربتي', 'ممتازه', 'مرحله', 'سعيده', 'بيءه تعليميه']","['تجربه سيءه', 'تجربه سيءه', 'طفلي تجربه سيءه']"
8,8,2655,8_بيءه_النظافه_ناحيه_نظافه,"['بيءه', 'النظافه', 'ناحيه', 'نظافه', 'للغايه', 'الطفل', 'اداره', 'الاطفال', 'واداره', 'بشده']","['بيءه تعليميه', 'بيءه امنه', 'بيءه', 'وبيءه', 'راءعه', 'البيءه', 'تعليميه', 'سيءه', 'متميزه', 'نظيفه']","['وتوفير بيءه محببه', 'بيءه نموذجيه', 'بيءه ممتازه للاطفال']"
9,9,2653,9_ممتاز_مركز_التعليم_المبني,"['ممتاز', 'مركز', 'التعليم', 'المبني', 'المركز', 'المكان', 'مكان', 'جميل', 'جيد', 'مرتب']","['مركز ممتاز', 'المركز ممتاز', 'مركز مميز', 'مركز متميز', 'ممتازه', 'ممتاز', 'مركز نظيف', 'مركز متكامل', 'مركز', 'مميز']","['مركز ممتاز', 'مكان ممتاز', 'المكان ممتاز']"
