,Topic,Count,Name,Representation,KeyBERT,Representative_Docs
0,0,9999,0_رقم_افضل_او_الطفل,"['رقم', 'افضل', 'او', 'الطفل', 'ان', 'الي', 'الاطفال', 'انه', 'الحضانات', 'اكثر']","['الي', 'سيءه', 'طفلي', 'بيءه', 'بنتي', 'المكان', 'رقم سنوات', 'حتي', 'الروضه', 'رقم']","['اعطيهم رقم رقم', 'رقم رقم رقم رقم', 'ماعندكم رقم']"
1,1,7722,1_اول_بنتي_الله_اللي,"['اول', 'بنتي', 'الله', 'اللي', 'ان', 'يوم', 'الي', 'كانت', 'انا', 'اي']","['بمعني الكلمه', 'المعلمه', 'بصراحه', 'الروضه', 'اطفالي', 'المدرسه', 'يسعدهم', 'معلمه', 'اطفالنا', 'السنه']","['وحنونه الاطفال اكثر شي حببني الحضانه لانها كانت تعلمني', 'ورغم الزحمه الي صارت يوم جينا ناخذ اطفالنا الا ان المعلمات يسلمون اي طفل لين يتاكدون ان امه اخذته', 'علقت شهرين اول مادرست بنتي']"
2,2,6499,2_بنتي_شكرا_شي_انا,"['بنتي', 'شكرا', 'شي', 'انا', 'قلبي', 'سجلت', 'اللي', 'الي', 'ام', 'طفلي']","['قلبي', 'بصراحه', 'يحب', 'قليله', 'الصراحه', 'بنتي', 'حرصهم', 'الحب', 'احب', 'الروضه']","['وحنونه بنتي', 'رجعت بنتي', 'بنتي صارت تتكلم']"
3,3,6005,3_الاطفال_تعاملهم_التعامل_وتعامل,"['الاطفال', 'تعاملهم', 'التعامل', 'وتعامل', 'المعلمات', 'راقي', 'الاداره', 'تعامل', 'للطفل', 'الحروف']","['الاطفال', 'النظافه', 'الروضه', 'الطاقم', 'والشكر', 'التوفيق', 'والطاقم', 'تعامل الاداره', 'الاهل', 'الاستقبال']","['الاطفال منسدحين الارض برضاعتهم', 'وحنوين الاطفال', 'ولمجهودهم الاطفال']"
4,4,4886,4_مرتاحه_التوفيق_وانا_واتمني,"['مرتاحه', 'التوفيق', 'وانا', 'واتمني', 'حلوه', 'ام', 'شكرا', 'اتمني', 'التقدم', 'مره']","['وانا مرتاحه', 'اتمني التوفيق', 'التوفيق', 'واتمني', 'ومره', 'الطاقم الاداري', 'الاداري', 'حريصين الاطفال', 'القاءمين', 'بصراحه']","['واتمني التوفيق', 'وانا مرتاحه', 'وانا مرتاحه']"
5,5,4732,5_للاطفال_الطفل_بالاطفال_بشكل,"['للاطفال', 'الطفل', 'بالاطفال', 'بشكل', 'التعليم', 'اهتمام', 'الاهتمام', 'تعليميه', 'والاهتمام', 'تعليم']","['للاطفال', 'اطفالي', 'للطفل', 'وتعاملهم', 'والاطفال', 'الطلاب', 'ومهتمين', 'والمكان', 'اطفال', 'وحريصين']","['ومحبب للاطفال', 'وحبهم للاطفال', 'والاحتواء للاطفال']"
6,6,4653,6_الله_خير_تبارك_والله,"['الله', 'خير', 'تبارك', 'والله', 'ماشاء الله', 'ماشاء', 'يسعدهم', 'العافيه', 'شاء الله', 'شاء']","['يسعدهم', 'شاء الله', 'جهودهم', 'والمديره', 'المعلمه', 'بارك الله', 'والله', 'للجميع', 'جهودكم', 'ماشاء الله']","['وستصل باذن الله لوزاره الشءون الاجتماعيه', 'الله يكتب اجركم', 'وحفظ متقن للقران الكريم جعله الله رفعه']"
7,7,4097,7_والمعلمات_راءعات_ومعلمات_المعلمات,"['والمعلمات', 'راءعات', 'ومعلمات', 'المعلمات', 'متعاونات', 'طاقم', 'معلمات', 'الموظفات', 'متنوعه', 'لطيفات']","['راءعات', 'الراءعات', 'المعلمات', 'المعلمه', 'ومعلمات', 'الاداريات', 'معلمات', 'الكادر', 'الانشطه', 'والمعلمات']","['ومعلمات راءعات', 'والمعلمات راءعات', 'والمعلمات راءعات']"
8,8,3872,8_استاذه_المديره_قمه_مديره,"['استاذه', 'المديره', 'قمه', 'مديره', 'واستاذه', 'المدرسه', 'واخص', 'معلمه', 'بالشكر', 'اشكر']","['استاذه', 'واستاذه', 'واخص بالشكر', 'المعلمه', 'الاستاذات', 'معلمه', 'الروضه', 'المدرسه', 'والمديره', 'والشكر']","['استاذه عاءشه', 'واخص بالشكر استاذه نوره السعدي المتميزه', 'واخص بالشكر استاذه اعتدال السبعان افضل استاذه']"
9,9,2978,9_ومتعاونه_والرقي_والحرص_والمديره,"['ومتعاونه', 'والرقي', 'والحرص', 'والمديره', 'ومرتاحه', 'والطالبات', 'روضه ممتازه', 'والعاب', 'وحريصين', 'والشكر']","['ومتعاونه', 'والمديره', 'وتعاون', 'والمعلمه', 'والمدرسه', 'والمتابعه', 'ويوفقها', 'وتعاملها', 'والعاملات', 'وعاملات']","['ومتعاونه', 'ومتعاونه', 'ومتعاونه']"
